,score,param,fun_name
171,0.5633678488221591,0.13,alpha
172,0.5189104970230389,0.14,alpha
173,0.5633121925964275,0.15,alpha
174,0.5500715117784105,0.16,alpha
175,0.5546204374838208,0.17,alpha
176,0.5018068858400208,0.18,alpha
177,0.5290389593580119,0.19,alpha
178,0.5214282940719649,0.2,alpha
179,0.5479892570541031,0.21,alpha
180,0.5484493916645095,0.22,alpha
181,0.57315007765985,0.23,alpha
182,0.5362817111053585,0.24,alpha
183,0.5482057338855814,0.25,alpha
184,0.589998705669169,0.26,alpha
185,0.6218473336784883,0.27,alpha
186,0.611377168004142,0.28,alpha
187,0.6218570411597202,0.29,alpha
188,0.5799203986538957,0.3,alpha
189,0.619632733626715,0.31,alpha
190,0.5985319052549832,0.32,alpha
191,0.5820227155060832,0.33,alpha
192,0.5807549184571577,0.34,alpha
193,0.561025433600828,0.35,alpha
194,0.5659303002847529,0.36,alpha
195,0.5499019544395546,0.37,alpha
196,0.6342573776857366,0.38,alpha
197,0.6640489904219519,0.39,alpha
198,0.6193890758477867,0.4,alpha
199,0.6429255112606779,0.41,alpha
200,0.6511930494434378,0.42,alpha
201,0.6684911338338081,0.43,alpha
202,0.6410276986797828,0.44,alpha
203,0.6550394770903442,0.45,alpha
204,0.6194499093968419,0.46,alpha
205,0.6141373285011649,0.47,alpha
206,0.647174152213306,0.48,alpha
207,0.655285076365519,0.49,alpha
208,0.6944512037276727,0.5,alpha
